id,unit,amount,metric_unit,metric_amount,created_at,updated_at,recipe_id,ingredient_id
1,cup,1.5,ml,354.882,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,1
2,"",1.0,"",1.0,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,2
3,cups,2.0,ml,473.176,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,3
4,"",1.0,"",1.0,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,4
5,tablespoon,1.0,Tbsp,1.0,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,5
6,cup,1.0,ml,236.588,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,1,6
7,pounds,10.0,kgs,4.536,2022-11-11 05:13:58 UTC,2022-11-11 05:13:58 UTC,2,7
8,"",1.0,"",1.0,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,8
9,cup,1.0,ml,236.588,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,9
10,cup,1.0,ml,236.588,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,10
11,cups,2.0,ml,473.176,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,11
12,cup,1.0,ml,236.588,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,12
13,cup,0.25,ml,59.147,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,13
14,sprig,1.0,sprig,1.0,2022-11-11 05:13:59 UTC,2022-11-11 05:13:59 UTC,2,14
15,teaspoon,1.0,tsp,1.0,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,2,15
16,C,0.5,cups,0.5,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,16
17,C,1.5,cups,1.5,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,13
18,"",3.0,"",3.0,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,17
19,lb,1.0,g,453.592,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,18
20,C,2.0,cups,2.0,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,19
21,C,1.5,cups,1.5,2022-11-11 05:14:00 UTC,2022-11-11 05:14:00 UTC,3,20
22,C,1.0,cup,1.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,21
23,Tsp,2.0,tsps,2.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,22
24,Tsp,1.0,tsp,1.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,23
25,"",6.0,"",6.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,4
26,"",2.0,"",2.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,4
27,C,0.25,cups,0.25,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,16
28,C,1.0,cup,1.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,3,13
29,"",3.0,"",3.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,4,2
30,oz,7.0,g,198.447,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,4,24
31,TBSP,1.0,Tbsp,1.0,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,4,25
32,oz,3.0,g,85.049,2022-11-11 05:14:01 UTC,2022-11-11 05:14:01 UTC,4,26
33,cup,1.0,ml,236.588,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,27
34,"",10.5,"",10.5,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,28
35,oz,7.0,g,198.447,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,29
36,cloves,3.0,cloves,3.0,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,30
37,oz,4.0,g,113.398,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,31
38,"",1.0,"",1.0,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,32
39,TBSP,1.0,Tbsp,1.0,2022-11-11 05:14:02 UTC,2022-11-11 05:14:02 UTC,4,33
40,"",2.0,"",2.0,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,34
41,oz,10.0,g,283.495,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,35
42,"",0.5,"",0.5,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,36
43,TBSP,1.0,Tbsp,1.0,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,37
44,cup,1.0,ml,236.588,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,38
45,cups,3.0,ml,709.764,2022-11-11 05:14:03 UTC,2022-11-11 05:14:03 UTC,4,39
46,cup,1.0,ml,236.588,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,4,40
47,"",3.0,"",3.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,4,41
48,"",0.5,"",0.5,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,4,42
49,g,50.0,g,50.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,43
50,Tbs,4.0,Tbs,4.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,44
51,"",1.0,"",1.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,17
52,small,4.0,small,4.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,45
53,g,50.0,g,50.0,2022-11-11 05:14:04 UTC,2022-11-11 05:14:04 UTC,5,46
54,servings,4.0,servings,4.0,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,5,47
55,g,100.0,g,100.0,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,5,48
56,tablespoons,2.0,Tbsps,2.0,2022-11-11 05:14:05 UTC,2022-11-11 05:14:05 UTC,5,49
